Vg	absId	absIg	absIs	Vd	Id	Ig
48	2.56668E-06	5.82629E-08	2.62555E-06	5	2.56668E-06	5.82629E-08
47.25	2.53221E-06	5.57675E-08	2.58766E-06	5	2.53221E-06	5.57675E-08
46.5	2.49594E-06	5.38233E-08	2.55022E-06	5	2.49594E-06	5.38233E-08
45.75	2.46021E-06	5.15736E-08	2.51222E-06	5	2.46021E-06	5.15736E-08
45	2.4225E-06	4.9432E-08	2.47091E-06	5	2.4225E-06	4.9432E-08
44.25	2.38888E-06	4.77095E-08	2.43419E-06	5	2.38888E-06	4.77095E-08
43.5	2.35066E-06	4.57716E-08	2.39508E-06	5	2.35066E-06	4.57716E-08
42.75	2.31492E-06	4.38963E-08	2.35498E-06	5	2.31492E-06	4.38963E-08
42	2.2737E-06	4.19261E-08	2.31475E-06	5	2.2737E-06	4.19261E-08
41.25	2.23722E-06	4.01848E-08	2.27599E-06	5	2.23722E-06	4.01848E-08
40.5	2.19873E-06	3.84386E-08	2.23728E-06	5	2.19873E-06	3.84386E-08
39.75	2.1616E-06	3.66333E-08	2.19445E-06	5	2.1616E-06	3.66333E-08
39	2.12418E-06	3.50861E-08	2.15891E-06	5	2.12418E-06	3.50861E-08
38.25	2.08725E-06	3.34665E-08	2.12146E-06	5	2.08725E-06	3.34665E-08
37.5	2.04781E-06	3.21106E-08	2.07966E-06	5	2.04781E-06	3.21106E-08
36.75	2.01052E-06	3.04262E-08	2.03737E-06	5	2.01052E-06	3.04262E-08
36	1.97209E-06	2.89359E-08	1.99728E-06	5	1.97209E-06	2.89359E-08
35.25	1.93227E-06	2.75227E-08	1.95868E-06	5	1.93227E-06	2.75227E-08
34.5	1.89351E-06	2.61066E-08	1.91726E-06	5	1.89351E-06	2.61066E-08
33.75	1.85498E-06	2.47517E-08	1.87786E-06	5	1.85498E-06	2.47517E-08
33	1.81673E-06	2.34535E-08	1.83904E-06	5	1.81673E-06	2.34535E-08
32.25	1.77601E-06	2.22608E-08	1.79935E-06	5	1.77601E-06	2.22608E-08
31.5	1.73705E-06	2.09256E-08	1.75607E-06	5	1.73705E-06	2.09256E-08
30.75	1.69733E-06	1.97747E-08	1.71535E-06	5	1.69733E-06	1.97747E-08
30	1.65729E-06	1.86293E-08	1.6758E-06	5	1.65729E-06	1.86293E-08
29.25	1.6173E-06	1.75948E-08	1.63295E-06	5	1.6173E-06	1.75948E-08
28.5	1.57749E-06	1.6551E-08	1.59079E-06	5	1.57749E-06	1.6551E-08
27.75	1.53673E-06	1.55418E-08	1.55243E-06	5	1.53673E-06	1.55418E-08
27	1.4982E-06	1.46305E-08	1.51162E-06	5	1.4982E-06	1.46305E-08
26.25	1.46027E-06	1.36377E-08	1.47099E-06	5	1.46027E-06	1.36377E-08
25.5	1.42048E-06	1.2755E-08	1.43182E-06	5	1.42048E-06	1.2755E-08
24.75	1.3797E-06	1.19079E-08	1.39115E-06	5	1.3797E-06	1.19079E-08
24	1.33928E-06	1.10313E-08	1.34988E-06	5	1.33928E-06	1.10313E-08
23.25	1.30049E-06	1.01171E-08	1.30972E-06	5	1.30049E-06	1.01171E-08
22.5	1.26137E-06	9.36227E-09	1.2678E-06	5	1.26137E-06	9.36227E-09
21.75	1.21912E-06	8.62608E-09	1.22679E-06	5	1.21912E-06	8.62608E-09
21	1.17974E-06	7.79936E-09	1.18732E-06	5	1.17974E-06	7.79936E-09
20.25	1.13847E-06	7.12791E-09	1.14399E-06	5	1.13847E-06	7.12791E-09
19.5	1.09866E-06	6.39493E-09	1.10283E-06	5	1.09866E-06	6.39493E-09
18.75	1.05817E-06	5.85405E-09	1.06287E-06	5	1.05817E-06	5.85405E-09
18	1.01776E-06	5.24507E-09	1.02194E-06	5	1.01776E-06	5.24507E-09
17.25	9.77275E-07	4.60117E-09	9.81312E-07	5	9.77275E-07	4.60117E-09
16.5	9.35994E-07	4.06745E-09	9.39819E-07	5	9.35994E-07	4.06745E-09
