Vg	absId	absIg	absIs	Vd	Ig	Id
-23	2.33516E-05	1.25755E-08	2.33866E-05	-40	-1.25755E-08	-2.33516E-05
-23.5	2.48098E-05	1.25452E-08	2.48457E-05	-40	-1.25452E-08	-2.48098E-05
-24	2.63138E-05	1.25386E-08	2.6351E-05	-40	-1.25386E-08	-2.63138E-05
-24.5	2.78725E-05	1.25797E-08	2.79106E-05	-40	-1.25797E-08	-2.78725E-05
-25	2.94776E-05	1.26393E-08	2.95169E-05	-40	-1.26393E-08	-2.94776E-05
-25.5	3.11396E-05	1.27335E-08	3.11798E-05	-40	-1.27335E-08	-3.11396E-05
-26	3.28481E-05	1.27861E-08	3.28891E-05	-40	-1.27861E-08	-3.28481E-05
-26.5	3.46141E-05	1.28712E-08	3.46569E-05	-40	-1.28712E-08	-3.46141E-05
-27	3.64269E-05	1.29308E-08	3.6471E-05	-40	-1.29308E-08	-3.64269E-05
-27.5	3.82996E-05	1.30465E-08	3.8345E-05	-40	-1.30465E-08	-3.82996E-05
-28	4.02254E-05	1.3174E-08	4.02722E-05	-40	-1.3174E-08	-4.02254E-05
-28.5	4.22002E-05	1.3289E-08	4.2248E-05	-40	-1.3289E-08	-4.22002E-05
-29	4.42338E-05	1.34645E-08	4.42832E-05	-40	-1.34645E-08	-4.42338E-05
-29.5	4.63188E-05	1.36561E-08	4.63696E-05	-40	-1.36561E-08	-4.63188E-05
-30	4.84651E-05	1.39794E-08	4.85177E-05	-40	-1.39794E-08	-4.84651E-05
-30.5	5.06616E-05	1.43935E-08	5.07157E-05	-40	-1.43935E-08	-5.06616E-05
-31	5.29207E-05	1.47927E-08	5.29768E-05	-40	-1.47927E-08	-5.29207E-05
-31.5	5.52371E-05	1.52494E-08	5.52951E-05	-40	-1.52494E-08	-5.52371E-05
-32	5.7605E-05	1.58502E-08	5.76648E-05	-40	-1.58502E-08	-5.7605E-05
-32.5	6.00307E-05	1.65355E-08	6.00936E-05	-40	-1.65355E-08	-6.00307E-05
-33	6.25224E-05	1.71848E-08	6.25868E-05	-40	-1.71848E-08	-6.25224E-05
-33.5	6.50666E-05	1.78277E-08	6.51336E-05	-40	-1.78277E-08	-6.50666E-05
-34	6.767E-05	1.86414E-08	6.7738E-05	-40	-1.86414E-08	-6.767E-05
-34.5	7.03403E-05	1.96156E-08	7.04121E-05	-40	-1.96156E-08	-7.03403E-05
-35	7.30616E-05	2.06146E-08	7.3136E-05	-40	-2.06146E-08	-7.30616E-05
-35.5	7.58449E-05	2.15408E-08	7.59223E-05	-40	-2.15408E-08	-7.58449E-05
-36	7.86992E-05	2.26826E-08	7.87796E-05	-40	-2.26826E-08	-7.86992E-05
-36.5	8.16052E-05	2.37508E-08	8.16897E-05	-40	-2.37508E-08	-8.16052E-05
-37	8.45757E-05	2.46463E-08	8.4661E-05	-40	-2.46463E-08	-8.45757E-05
-37.5	8.76146E-05	2.58252E-08	8.77035E-05	-40	-2.58252E-08	-8.76146E-05
-38	9.07085E-05	2.68971E-08	9.08001E-05	-40	-2.68971E-08	-9.07085E-05
-38.5	9.38741E-05	2.84603E-08	9.39694E-05	-40	-2.84603E-08	-9.38741E-05
-39	9.70927E-05	3.0285E-08	9.71927E-05	-40	-3.0285E-08	-9.70927E-05
-39.5	0.0001003864	3.18906E-08	0.0001004899	-40	-3.18906E-08	-0.0001003864
-40	0.0001037426	3.32741E-08	0.0001038493	-40	-3.32741E-08	-0.0001037426
-40	0.0001039454	2.88746E-08	0.0001040248	-40	-2.88746E-08	-0.0001039454
-39.5	0.0001009522	2.23549E-08	0.0001009909	-40	-2.23549E-08	-0.0001009522
-39	9.79199E-05	1.94663E-08	9.79415E-05	-40	-1.94663E-08	-9.79199E-05
-38.5	9.49066E-05	1.69684E-08	9.4916E-05	-40	-1.69684E-08	-9.49066E-05
-38	9.19074E-05	1.53372E-08	9.19074E-05	-40	-1.53372E-08	-9.19074E-05
-37.5	8.8949E-05	1.38133E-08	8.89447E-05	-40	-1.38133E-08	-8.8949E-05
-37	8.60226E-05	1.21614E-08	8.60129E-05	-40	-1.21614E-08	-8.60226E-05
-36.5	8.31514E-05	1.05467E-08	8.31366E-05	-40	-1.05467E-08	-8.31514E-05
-36	8.03147E-05	1.03386E-08	8.03001E-05	-40	-1.03386E-08	-8.03147E-05
-35.5	7.75332E-05	8.2784E-09	7.75139E-05	-40	-8.2784E-09	-7.75332E-05
-35	7.47907E-05	8.2536E-09	7.47737E-05	-40	-8.2536E-09	-7.47907E-05
-34.5	7.21068E-05	7.5262E-09	7.20893E-05	-40	-7.5262E-09	-7.21068E-05
-34	6.94669E-05	6.8186E-09	6.94486E-05	-40	-6.8186E-09	-6.94669E-05
-33.5	6.68878E-05	6.0351E-09	6.68684E-05	-40	-6.0351E-09	-6.68878E-05
-33	6.42671E-05	7.9017E-09	6.42602E-05	-40	-7.9017E-09	-6.42671E-05
-32.5	6.18293E-05	5.3336E-09	6.18134E-05	-40	-5.3336E-09	-6.18293E-05
-32	5.94267E-05	4.3069E-09	5.94074E-05	-40	-4.3069E-09	-5.94267E-05
-31.5	5.69824E-05	6.0729E-09	5.69744E-05	-40	-6.0729E-09	-5.69824E-05
-31	5.47047E-05	3.7595E-09	5.46887E-05	-40	-3.7595E-09	-5.47047E-05
-30.5	5.2461E-05	2.8128E-09	5.24413E-05	-40	-2.8128E-09	-5.2461E-05
-30	5.01846E-05	2.62985E-09	5.01745E-05	-40	-2.62985E-09	-5.01846E-05
-29.5	4.79925E-05	4.4599E-09	4.79847E-05	-40	-4.4599E-09	-4.79925E-05
-29	4.58734E-05	4.1692E-09	4.58662E-05	-40	-4.1692E-09	-4.58734E-05
-28.5	4.38088E-05	2.36604E-09	4.38024E-05	-40	-2.36604E-09	-4.38088E-05
-28	4.18042E-05	2.11459E-09	4.17973E-05	-40	-2.11459E-09	-4.18042E-05
-27.5	3.98981E-05	1.77602E-09	3.98851E-05	-40	-1.77602E-09	-3.98981E-05
-27	3.8029E-05	6.971E-10	3.80119E-05	-40	-6.971E-10	-3.8029E-05
-26.5	3.62118E-05	9.8E-12	3.6193E-05	-40	9.8E-12	-3.62118E-05
-26	3.44432E-05	1.3799E-09	3.44208E-05	-40	1.3799E-09	-3.44432E-05
-25.5	3.27039E-05	4.589E-10	3.26849E-05	-40	4.589E-10	-3.27039E-05
-25	3.10031E-05	1.7838E-10	3.09859E-05	-40	1.7838E-10	-3.10031E-05
-24.5	2.93625E-05	2.4966E-10	2.93463E-05	-40	2.4966E-10	-2.93625E-05
-24	2.77685E-05	4.1216E-10	2.77527E-05	-40	4.1216E-10	-2.77685E-05
-23.5	2.62294E-05	5.7413E-10	2.62135E-05	-40	5.7413E-10	-2.62294E-05
-23	2.47413E-05	1.0309E-09	2.47249E-05	-40	1.0309E-09	-2.47413E-05
-22.5	2.33094E-05	1.43753E-09	2.32923E-05	-40	1.43753E-09	-2.33094E-05
-22	2.19151E-05	1.5447E-09	2.18981E-05	-40	1.5447E-09	-2.19151E-05
-21.5	2.0584E-05	2.3528E-09	2.05654E-05	-40	2.3528E-09	-2.0584E-05
-21	1.92963E-05	3.0412E-09	1.92767E-05	-40	3.0412E-09	-1.92963E-05
-20.5	1.80483E-05	2.9693E-09	1.8029E-05	-40	2.9693E-09	-1.80483E-05
-20	1.68521E-05	3.2592E-09	1.68331E-05	-40	3.2592E-09	-1.68521E-05
-19.5	1.56904E-05	2.89484E-09	1.5673E-05	-40	2.89484E-09	-1.56904E-05
-19	1.45764E-05	2.7984E-09	1.45598E-05	-40	2.7984E-09	-1.45764E-05
-18.5	1.35196E-05	3.6161E-09	1.35019E-05	-40	3.6161E-09	-1.35196E-05
-18	1.25061E-05	3.7487E-09	1.24884E-05	-40	3.7487E-09	-1.25061E-05
-17.5	1.15333E-05	3.8869E-09	1.15161E-05	-40	3.8869E-09	-1.15333E-05
-17	1.06095E-05	4.1773E-09	1.0592E-05	-40	4.1773E-09	-1.06095E-05
-16.5	9.72196E-06	4.2447E-09	9.70378E-06	-40	4.2447E-09	-9.72196E-06
-16	8.88532E-06	4.8128E-09	8.86809E-06	-40	4.8128E-09	-8.88532E-06
-15.5	8.08858E-06	4.483E-09	8.07271E-06	-40	4.483E-09	-8.08858E-06
-15	7.33975E-06	5.3358E-09	7.32262E-06	-40	5.3358E-09	-7.33975E-06
